"","collection_no","collection_name","accepted_name","identified_rank","family","genus","formation","member","cells.1","Camp_out_0.5","DEM_0.5","LANDCVI_selected_0.5","MGVF_0.5","SLOPE_0.5","WC_Prec_0.5","WC_Temp_0.5","cells.2","CampPrecip_0.5","CampTemp_0.5","colls_per_cell"
"22",87125,"Pachyrhinosaurus bonebed, W of Pipestone","Testudines","order","","","Wapiti","",5881,0.980000019073486,781.525207519531,110.97575378418,94.5,0.165332838892937,40.7170944213867,2.67259335517883,33338,1.19732703751652e-05,272.584014892578,3
"23",163050,"Red Willow Park campground","Tyrannosauridae","family","Tyrannosauridae","","Wapiti","",5881,0.980000019073486,781.525207519531,110.97575378418,94.5,0.165332838892937,40.7170944213867,2.67259335517883,32618,1.19827054732013e-05,272.348236083984,3
"24",163050,"Red Willow Park campground","Champsosauridae","family","Champsosauridae","","Wapiti","",5881,0.980000019073486,781.525207519531,110.97575378418,94.5,0.165332838892937,40.7170944213867,2.67259335517883,32618,1.19827054732013e-05,272.348236083984,3
"25",52656,"Red Willow River tracksite","Theropoda","unranked clade","NO_FAMILY_SPECIFIED","NO_GENUS_SPECIFIED","Wapiti","",5882,1,788.513549804688,127.015495300293,96.75,0.122823633253574,40.9918212890625,2.50121593475342,32618,1.19827054732013e-05,272.348236083984,2
"26",22699,"Pipestone Creek Bonebed (RTMP)","Pachyrhinosaurus lakustai","species","Ceratopsidae","Pachyrhinosaurus","Wapiti","Unit 3",5882,1,788.513549804688,127.015495300293,96.75,0.122823633253574,40.9918212890625,2.50121593475342,33339,1.19869464469957e-05,272.492156982422,2
"27",22699,"Pipestone Creek Bonebed (RTMP)","Boreonykus certekorum","species","Dromaeosauridae","Boreonykus","Wapiti","Unit 3",5882,1,788.513549804688,127.015495300293,96.75,0.122823633253574,40.9918212890625,2.50121593475342,33339,1.19869464469957e-05,272.492156982422,2
"28",52656,"Red Willow River tracksite","Hadrosauridae","family","Hadrosauridae","","Wapiti","",5882,1,788.513549804688,127.015495300293,96.75,0.122823633253574,40.9918212890625,2.50121593475342,32618,1.19827054732013e-05,272.348236083984,2
"29",22699,"Pipestone Creek Bonebed (RTMP)","Albertosaurinae","subfamily","Tyrannosauridae","","Wapiti","Unit 3",5882,1,788.513549804688,127.015495300293,96.75,0.122823633253574,40.9918212890625,2.50121593475342,33339,1.19869464469957e-05,272.492156982422,2
"30",22699,"Pipestone Creek Bonebed (RTMP)","Crocodylia","unranked clade","NO_FAMILY_SPECIFIED","NO_GENUS_SPECIFIED","Wapiti","Unit 3",5882,1,788.513549804688,127.015495300293,96.75,0.122823633253574,40.9918212890625,2.50121593475342,33339,1.19869464469957e-05,272.492156982422,2
"31",22699,"Pipestone Creek Bonebed (RTMP)","Boreonykus certekorum","species","Dromaeosauridae","Boreonykus","Wapiti","Unit 3",5882,1,788.513549804688,127.015495300293,96.75,0.122823633253574,40.9918212890625,2.50121593475342,33339,1.19869464469957e-05,272.492156982422,2
"32",22699,"Pipestone Creek Bonebed (RTMP)","Palaeosaniwa","genus","NO_FAMILY_SPECIFIED","Palaeosaniwa","Wapiti","Unit 3",5882,1,788.513549804688,127.015495300293,96.75,0.122823633253574,40.9918212890625,2.50121593475342,33339,1.19869464469957e-05,272.492156982422,2
"33",22699,"Pipestone Creek Bonebed (RTMP)","Troodon","genus","Troodontidae","Troodon","Wapiti","Unit 3",5882,1,788.513549804688,127.015495300293,96.75,0.122823633253574,40.9918212890625,2.50121593475342,33339,1.19869464469957e-05,272.492156982422,2
"34",22699,"Pipestone Creek Bonebed (RTMP)","Chelydridae","unranked clade","Chelydridae","NO_GENUS_SPECIFIED","Wapiti","Unit 3",5882,1,788.513549804688,127.015495300293,96.75,0.122823633253574,40.9918212890625,2.50121593475342,33339,1.19869464469957e-05,272.492156982422,2
"35",89606,"Kleskun Hill Park, site C","Hadrosauridae","family","Hadrosauridae","","Wapiti","",5883,1,690,95.1565780639648,67.5000228881836,0.162746429443359,40.0798988342285,2.56376886367798,33341,1.20277527457802e-05,272.344909667969,4
"36",89605,"Kleskun Hill Park, site B","Ankylosauridae","family","Ankylosauridae","","Wapiti","",5883,1,690,95.1565780639648,67.5000228881836,0.162746429443359,40.0798988342285,2.56376886367798,33341,1.20277527457802e-05,272.344909667969,4
"37",89605,"Kleskun Hill Park, site B","Didelphodon","genus","Stagodontidae","Didelphodon","Wapiti","",5883,1,690,95.1565780639648,67.5000228881836,0.162746429443359,40.0798988342285,2.56376886367798,33341,1.20277527457802e-05,272.344909667969,4
"38",89604,"Kleskun Hill Park, site A","Troodon","genus","Troodontidae","Troodon","Wapiti","",5883,1,690,95.1565780639648,67.5000228881836,0.162746429443359,40.0798988342285,2.56376886367798,33341,1.20277527457802e-05,272.344909667969,4
"39",116566,"Kleskun Hills","Teiidae","family","Teiidae","","Wapiti","B",5883,1,690,95.1565780639648,67.5000228881836,0.162746429443359,40.0798988342285,2.56376886367798,33341,1.20277527457802e-05,272.344909667969,4
"40",89605,"Kleskun Hill Park, site B","Cimolodon","genus","Cimolodontidae","Cimolodon","Wapiti","",5883,1,690,95.1565780639648,67.5000228881836,0.162746429443359,40.0798988342285,2.56376886367798,33341,1.20277527457802e-05,272.344909667969,4
"41",89604,"Kleskun Hill Park, site A","Tyrannosauridae","family","Tyrannosauridae","","Wapiti","",5883,1,690,95.1565780639648,67.5000228881836,0.162746429443359,40.0798988342285,2.56376886367798,33341,1.20277527457802e-05,272.344909667969,4
"42",89605,"Kleskun Hill Park, site B","Pachycephalosauridae","family","Pachycephalosauridae","","Wapiti","",5883,1,690,95.1565780639648,67.5000228881836,0.162746429443359,40.0798988342285,2.56376886367798,33341,1.20277527457802e-05,272.344909667969,4
"43",89605,"Kleskun Hill Park, site B","Troodon","genus","Troodontidae","Troodon","Wapiti","",5883,1,690,95.1565780639648,67.5000228881836,0.162746429443359,40.0798988342285,2.56376886367798,33341,1.20277527457802e-05,272.344909667969,4
"44",89604,"Kleskun Hill Park, site A","Kleskunsaurus grandeprairiensis","species","NO_FAMILY_SPECIFIED","Kleskunsaurus","Wapiti","",5883,1,690,95.1565780639648,67.5000228881836,0.162746429443359,40.0798988342285,2.56376886367798,33341,1.20277527457802e-05,272.344909667969,4
"45",89605,"Kleskun Hill Park, site B","Hypsilophodontidae","family","Hypsilophodontidae","","Wapiti","",5883,1,690,95.1565780639648,67.5000228881836,0.162746429443359,40.0798988342285,2.56376886367798,33341,1.20277527457802e-05,272.344909667969,4
"46",89604,"Kleskun Hill Park, site A","Hadrosauridae","family","Hadrosauridae","","Wapiti","",5883,1,690,95.1565780639648,67.5000228881836,0.162746429443359,40.0798988342285,2.56376886367798,33341,1.20277527457802e-05,272.344909667969,4
"47",89604,"Kleskun Hill Park, site A","Socognathus unicuspis","species","Chamopsiidae","Socognathus","Wapiti","",5883,1,690,95.1565780639648,67.5000228881836,0.162746429443359,40.0798988342285,2.56376886367798,33341,1.20277527457802e-05,272.344909667969,4
"48",89606,"Kleskun Hill Park, site C","Tyrannosauridae","family","Tyrannosauridae","","Wapiti","",5883,1,690,95.1565780639648,67.5000228881836,0.162746429443359,40.0798988342285,2.56376886367798,33341,1.20277527457802e-05,272.344909667969,4
"49",89605,"Kleskun Hill Park, site B","Aves","class","","","Wapiti","",5883,1,690,95.1565780639648,67.5000228881836,0.162746429443359,40.0798988342285,2.56376886367798,33341,1.20277527457802e-05,272.344909667969,4
"50",89605,"Kleskun Hill Park, site B","Hadrosauridae","family","Hadrosauridae","","Wapiti","",5883,1,690,95.1565780639648,67.5000228881836,0.162746429443359,40.0798988342285,2.56376886367798,33341,1.20277527457802e-05,272.344909667969,4
"51",89604,"Kleskun Hill Park, site A","Ankylosauridae","family","Ankylosauridae","","Wapiti","",5883,1,690,95.1565780639648,67.5000228881836,0.162746429443359,40.0798988342285,2.56376886367798,33341,1.20277527457802e-05,272.344909667969,4
"52",89604,"Kleskun Hill Park, site A","Testudines","order","","","Wapiti","",5883,1,690,95.1565780639648,67.5000228881836,0.162746429443359,40.0798988342285,2.56376886367798,33341,1.20277527457802e-05,272.344909667969,4
"53",89605,"Kleskun Hill Park, site B","Tyrannosauridae","family","Tyrannosauridae","","Wapiti","",5883,1,690,95.1565780639648,67.5000228881836,0.162746429443359,40.0798988342285,2.56376886367798,33341,1.20277527457802e-05,272.344909667969,4
"54",89604,"Kleskun Hill Park, site A","Squamata","order","","","Wapiti","",5883,1,690,95.1565780639648,67.5000228881836,0.162746429443359,40.0798988342285,2.56376886367798,33341,1.20277527457802e-05,272.344909667969,4
"55",89605,"Kleskun Hill Park, site B","Saurornitholestes","genus","Dromaeosauridae","Saurornitholestes","Wapiti","",5883,1,690,95.1565780639648,67.5000228881836,0.162746429443359,40.0798988342285,2.56376886367798,33341,1.20277527457802e-05,272.344909667969,4
"56",152271,"Whitemud Creek","Atrociraptor marshalli","species","Dromaeosauridae","Atrociraptor","Horseshoe Canyon","",5886,0.970000028610229,657.69287109375,21.2176551818848,86.5000076293945,0.0719107165932655,40.7900161743164,2.34025883674622,32624,1.20334589155391e-05,271.813293457031,1
"57",152271,"Whitemud Creek","Troodon","genus","Troodontidae","Troodon","Horseshoe Canyon","",5886,0.970000028610229,657.69287109375,21.2176551818848,86.5000076293945,0.0719107165932655,40.7900161743164,2.34025883674622,32624,1.20334589155391e-05,271.813293457031,1
"58",182649,"Nose Mountain tracksite","Tyrannosauridae","family","Tyrannosauridae","","Wapiti","",6047,1,923.835815429688,37.0992202758789,96.5,0.356043756008148,46.3243522644043,2.63946485519409,32616,1.20192071335623e-05,272.648956298828,1
"59",52658,"Pinto Creek tracksite","Ankylosauria","unranked clade","NO_FAMILY_SPECIFIED","NO_GENUS_SPECIFIED","Wapiti","",6048,0.990000009536743,775.054016113281,26.1012840270996,96.75,0.270123422145844,45.8512802124023,2.63013792037964,32618,1.19827054732013e-05,272.348236083984,1
"60",144539,"Calmar","Troodon","genus","Troodontidae","Troodon","Horseshoe Canyon","",6557,0.970000028610229,735.420593261719,110.702713012695,96.75,0.087174728512764,41.3530197143555,2.60645580291748,36948,1.29048285089084e-05,273.754455566406,2
"61",152403,"8 miles upriver from Devon bridge","Tyrannosauridae","family","Tyrannosauridae","","Horseshoe Canyon","",6557,0.970000028610229,735.420593261719,110.702713012695,96.75,0.087174728512764,41.3530197143555,2.60645580291748,37668,1.31808301375713e-05,274.226135253906,2
"62",152403,"8 miles upriver from Devon bridge","Trionychidae","family","Trionychidae","","Horseshoe Canyon","",6557,0.970000028610229,735.420593261719,110.702713012695,96.75,0.087174728512764,41.3530197143555,2.60645580291748,37668,1.31808301375713e-05,274.226135253906,2
"63",152403,"8 miles upriver from Devon bridge","Edmontosaurus","genus","Hadrosauridae","Edmontosaurus","Horseshoe Canyon","",6557,0.970000028610229,735.420593261719,110.702713012695,96.75,0.087174728512764,41.3530197143555,2.60645580291748,37668,1.31808301375713e-05,274.226135253906,2
"64",152403,"8 miles upriver from Devon bridge","Arrhinoceratops","genus","Ceratopsidae","Arrhinoceratops","Horseshoe Canyon","",6557,0.970000028610229,735.420593261719,110.702713012695,96.75,0.087174728512764,41.3530197143555,2.60645580291748,37668,1.31808301375713e-05,274.226135253906,2
"65",34373,"Tolman Crossing (KU/UA)","Champsosaurus albertensis","species","NO_FAMILY_SPECIFIED","Champsosaurus","Horseshoe Canyon","",6889,0,894.545166015625,192.552459716797,67.9999923706055,0.129142254590988,39.3214645385742,2.71620273590088,38386,1.34388074002345e-05,275.012329101562,1
"66",162141,"Trenville Park","Avimimus","genus","NO_FAMILY_SPECIFIED","Avimimus","Dinosaur Park","",6891,0.949999988079071,827.032775878906,416.714782714844,84.4999923706055,0.0541031546890736,36.6601524353027,2.86562061309814,39108,1.37328343043919e-05,275.169494628906,1
"67",162141,"Trenville Park","Triceratops horridus","species","Ceratopsidae","Triceratops","Dinosaur Park","",6891,0.949999988079071,827.032775878906,416.714782714844,84.4999923706055,0.0541031546890736,36.6601524353027,2.86562061309814,39108,1.37328343043919e-05,275.169494628906,1
"68",52655,"Battle River, TMP","Dinosauria","unranked clade","NO_FAMILY_SPECIFIED","NO_GENUS_SPECIFIED","Horseshoe Canyon","",6892,0.970000028610229,822.983032226562,793.646850585938,85.4999923706055,0.0782323777675629,34.6509475708008,2.77435231208801,39831,1.40145857585594e-05,275.03125,1
"69",67885,"Unity BB","Theropoda","unranked clade","NO_FAMILY_SPECIFIED","NO_GENUS_SPECIFIED","Dinosaur Park","",6898,1,660.448303222656,995.591796875,78.25,0.057623028755188,29.9856929779053,2.31573915481567,40558,1.52963202708634e-05,274.443420410156,2
"70",67885,"Unity BB","Saurornitholestes","genus","Dromaeosauridae","Saurornitholestes","Dinosaur Park","",6898,1,660.448303222656,995.591796875,78.25,0.057623028755188,29.9856929779053,2.31573915481567,40558,1.52963202708634e-05,274.443420410156,2
"71",14493,"Unity","Mesodma","genus","Neoplagiaulacidae","Mesodma","Judith River","Coal Ridge",6898,1,660.448303222656,995.591796875,78.25,0.057623028755188,29.9856929779053,2.31573915481567,40558,1.52963202708634e-05,274.443420410156,2
"72",67885,"Unity BB","Hadrosauridae","family","Hadrosauridae","","Dinosaur Park","",6898,1,660.448303222656,995.591796875,78.25,0.057623028755188,29.9856929779053,2.31573915481567,40558,1.52963202708634e-05,274.443420410156,2
"73",67885,"Unity BB","Multituberculata","order","","","Dinosaur Park","",6898,1,660.448303222656,995.591796875,78.25,0.057623028755188,29.9856929779053,2.31573915481567,40558,1.52963202708634e-05,274.443420410156,2
"74",67885,"Unity BB","Ceratopsidae","family","Ceratopsidae","","Dinosaur Park","",6898,1,660.448303222656,995.591796875,78.25,0.057623028755188,29.9856929779053,2.31573915481567,40558,1.52963202708634e-05,274.443420410156,2
"75",64436,"16 miles below Tolman Ferry (70 ft level)","Hypacrosaurus altispinus","species","Hadrosauridae","Hypacrosaurus","Horseshoe Canyon","",7057,0.839999973773956,829.37744140625,595.396118164062,82.75,0.0687960088253021,33.4558067321777,3.17399787902832,39107,1.37304541567573e-05,275.345092773438,12
"76",64629,"7 miles below Tolman Ferry (50 ft level) [AMNH]","Anchiceratops ornatus","species","Ceratopsidae","Anchiceratops","Horseshoe Canyon","",7057,0.839999973773956,829.37744140625,595.396118164062,82.75,0.0687960088253021,33.4558067321777,3.17399787902832,39107,1.37304541567573e-05,275.345092773438,12
"77",155222,"Day Digs trail, Bleriot ferry, Red Deer River (RTMP)","Anodontosaurus lambei","species","Ankylosauridae","Anodontosaurus","Horseshoe Canyon","",7057,0.839999973773956,829.37744140625,595.396118164062,82.75,0.0687960088253021,33.4558067321777,3.17399787902832,39827,1.39191424750607e-05,275.759643554688,12
"78",152270,"Morrin Bridge","Atrociraptor marshalli","species","Dromaeosauridae","Atrociraptor","Horseshoe Canyon","",7057,0.839999973773956,829.37744140625,595.396118164062,82.75,0.0687960088253021,33.4558067321777,3.17399787902832,39107,1.37304541567573e-05,275.345092773438,12
"79",67612,"Neill's Ranch, Red Deer River (125 ft level) [ROM]","Arrhinoceratops brachyops","species","Ceratopsidae","Arrhinoceratops","Horseshoe Canyon","",7057,0.839999973773956,829.37744140625,595.396118164062,82.75,0.0687960088253021,33.4558067321777,3.17399787902832,39107,1.37304541567573e-05,275.345092773438,12
"80",191402,"6 miles west of Morrin","Anchiceratops ornatus","species","Ceratopsidae","Anchiceratops","Horseshoe Canyon","",7057,0.839999973773956,829.37744140625,595.396118164062,82.75,0.0687960088253021,33.4558067321777,3.17399787902832,39107,1.37304541567573e-05,275.345092773438,12
"81",150979,"16 miles below Tolman Ferry (50 ft level)","Hadrosauridae","family","Hadrosauridae","","Horseshoe Canyon","",7057,0.839999973773956,829.37744140625,595.396118164062,82.75,0.0687960088253021,33.4558067321777,3.17399787902832,39107,1.37304541567573e-05,275.345092773438,12
"82",64319,"Red Deer River, DPP (NMC)","Chirostenotes pergracilis","species","Caenagnathidae","Chirostenotes","Dinosaur Park","",7057,0.839999973773956,829.37744140625,595.396118164062,82.75,0.0687960088253021,33.4558067321777,3.17399787902832,39828,1.39430030685617e-05,275.577545166016,12
"83",64631,"Tolman Ferry, left bank Red Deer River (AMNH)","Hadrosauridae","family","Hadrosauridae","","Horseshoe Canyon","",7057,0.839999973773956,829.37744140625,595.396118164062,82.75,0.0687960088253021,33.4558067321777,3.17399787902832,39107,1.37304541567573e-05,275.345092773438,12
"84",191253,"west bank, Red Deer River (111 ft level) [NMC]","Ornithomimidae","family","Ornithomimidae","","Horseshoe Canyon","",7057,0.839999973773956,829.37744140625,595.396118164062,82.75,0.0687960088253021,33.4558067321777,3.17399787902832,39107,1.37304541567573e-05,275.345092773438,12
"85",189568,"8.5 miles northwest of Munson (180 ft level)","Edmontosaurus","genus","Hadrosauridae","Edmontosaurus","Horseshoe Canyon","",7057,0.839999973773956,829.37744140625,595.396118164062,82.75,0.0687960088253021,33.4558067321777,3.17399787902832,39107,1.37304541567573e-05,275.345092773438,12
"86",138968,"John Neills Ranch (75 ft level) [ROM]","Epichirostenotes curriei","species","Caenagnathidae","Epichirostenotes","Horseshoe Canyon","",7057,0.839999973773956,829.37744140625,595.396118164062,82.75,0.0687960088253021,33.4558067321777,3.17399787902832,39828,1.39430030685617e-05,275.577545166016,12
"87",152270,"Morrin Bridge","Troodon","genus","Troodontidae","Troodon","Horseshoe Canyon","",7057,0.839999973773956,829.37744140625,595.396118164062,82.75,0.0687960088253021,33.4558067321777,3.17399787902832,39107,1.37304541567573e-05,275.345092773438,12
"88",64402,"South Saskatchewan River","Chasmosaurus russelli","species","Ceratopsidae","Chasmosaurus","Oldman","",7066,1,675.587524414062,1249.82019042969,74.5,0.0405403673648834,29.5982341766357,2.63970565795898,41998,1.60363106260775e-05,275.118896484375,1
"89",152272,"Carbon","Troodon","genus","Troodontidae","Troodon","Horseshoe Canyon","",7222,0.379999995231628,929.449951171875,356.578338623047,87.75,0.128914788365364,32.3607978820801,3.51192736625671,39106,1.37280730996281e-05,275.520690917969,1
"90",152268,"Dunphy","Dromaeosaurinae","subfamily","Dromaeosauridae","","Horseshoe Canyon","",7223,0.829999983310699,889.964782714844,724.0771484375,86,0.108705051243305,31.3305435180664,3.57049608230591,39827,1.39191424750607e-05,275.759643554688,3
"91",152268,"Dunphy","Atrociraptor marshalli","species","Dromaeosauridae","Atrociraptor","Horseshoe Canyon","",7223,0.829999983310699,889.964782714844,724.0771484375,86,0.108705051243305,31.3305435180664,3.57049608230591,39827,1.39191424750607e-05,275.759643554688,3
"92",117924,"Red Deer River valley (Champsosaurus)","Champsosaurus albertensis","species","NO_FAMILY_SPECIFIED","Champsosaurus","Horseshoe Canyon","",7223,0.829999983310699,889.964782714844,724.0771484375,86,0.108705051243305,31.3305435180664,3.57049608230591,39827,1.39191424750607e-05,275.759643554688,3
"93",52654,"coal mine near Willow Creek","Hadrosauridae","family","Hadrosauridae","","Horseshoe Canyon","",7223,0.829999983310699,889.964782714844,724.0771484375,86,0.108705051243305,31.3305435180664,3.57049608230591,40548,1.40873389682383e-05,275.921966552734,3
"94",67882,"Hilda #2, South Saskatchewan River","Hadrosauridae","family","Hadrosauridae","","Dinosaur Park","",7228,1,753.222900390625,1465.99438476562,86.25,0.0538195222616196,26.3142414093018,3.33935189247131,41273,1.4862215721223e-05,275.426513671875,5
"95",67882,"Hilda #2, South Saskatchewan River","Multituberculata","order","","","Dinosaur Park","",7228,1,753.222900390625,1465.99438476562,86.25,0.0538195222616196,26.3142414093018,3.33935189247131,41273,1.4862215721223e-05,275.426513671875,5
"96",67882,"Hilda #2, South Saskatchewan River","Metatheria","subclass","","","Dinosaur Park","",7228,1,753.222900390625,1465.99438476562,86.25,0.0538195222616196,26.3142414093018,3.33935189247131,41273,1.4862215721223e-05,275.426513671875,5
"97",67882,"Hilda #2, South Saskatchewan River","Paronychodon","genus","NO_FAMILY_SPECIFIED","Paronychodon","Dinosaur Park","",7228,1,753.222900390625,1465.99438476562,86.25,0.0538195222616196,26.3142414093018,3.33935189247131,41273,1.4862215721223e-05,275.426513671875,5
"98",67882,"Hilda #2, South Saskatchewan River","Saurornitholestes","genus","Dromaeosauridae","Saurornitholestes","Dinosaur Park","",7228,1,753.222900390625,1465.99438476562,86.25,0.0538195222616196,26.3142414093018,3.33935189247131,41273,1.4862215721223e-05,275.426513671875,5
"99",67883,"Hilda #3, South Saskatchewan River","Ceratopsidae","family","Ceratopsidae","","Dinosaur Park","",7228,1,753.222900390625,1465.99438476562,86.25,0.0538195222616196,26.3142414093018,3.33935189247131,41273,1.4862215721223e-05,275.426513671875,5
"100",67883,"Hilda #3, South Saskatchewan River","Ankylosauria","unranked clade","NO_FAMILY_SPECIFIED","NO_GENUS_SPECIFIED","Dinosaur Park","",7228,1,753.222900390625,1465.99438476562,86.25,0.0538195222616196,26.3142414093018,3.33935189247131,41273,1.4862215721223e-05,275.426513671875,5
"101",67882,"Hilda #2, South Saskatchewan River","Aves","class","","","Dinosaur Park","",7228,1,753.222900390625,1465.99438476562,86.25,0.0538195222616196,26.3142414093018,3.33935189247131,41273,1.4862215721223e-05,275.426513671875,5
"102",67883,"Hilda #3, South Saskatchewan River","Multituberculata","order","","","Dinosaur Park","",7228,1,753.222900390625,1465.99438476562,86.25,0.0538195222616196,26.3142414093018,3.33935189247131,41273,1.4862215721223e-05,275.426513671875,5
"103",67881,"Hilda #1, South Saskatchewan River","Metatheria","subclass","","","Dinosaur Park","",7228,1,753.222900390625,1465.99438476562,86.25,0.0538195222616196,26.3142414093018,3.33935189247131,41273,1.4862215721223e-05,275.426513671875,5
