Formation,Member,max_age,min_age,Potential Error Top,Potential Error Base,Reference for age data,Depositional environment,Constraint Type,Other Notes,Location,,
Billman Creek,,70,66,1,1,"Roberts, 1972, Cretaceous and early Tertiary depositional and tectonic history of the Livingston area, southwestern Montana; Horner, 1989, The Mesozoic terrestrial ecosystems of Montana",Terrestrial,"Palynology, stratigraphy",Little information available; mudstone in upper third of formation yielded palynomorph assemablge equivalent to Colgate Member of Fox Hills. Top reported as latest Maastrichtian. Roberts (1972) suggested approx. 70-66 Ma - have gone with this asessment.,WI,,
Bissett Conglomerate,,145,139.8,1,1,"Lucas, 1993, Vertebrate biochronology of the Jurassic-Cretaceous boundary, North American western interior; Elder and Kirkland, 1994, Cretaceous paleogeography of the Southern Western Interior region",Terrestrial,Unknown,Poor constraint - done by Stage,GC,,
Black Peaks,,68.5,65,0.5,0.5,"Leslie et al., 2018, Revised age constraints for Late Cretaceous to early Paleocene terrestrial strata from the Dawson Creek section, Big Bend National Park, west Texas; Lehman et al., 2018, Stratigraphy and depositional history of the Tornillo Group (Upper Cretaceous–Eocene) of West Texas",Terrestrial,"Magnetostratigraphy, biostratigraphy","Currently under revision - Black Peaks ma not fall within Cretaceous at all. As such, all dinosaur remains would be part of the underlying Javelina formation. Leslie et al. (2018) identified as between C31 and Cr29. However, Lehman et al. (2018) claim that nearby dinosaur remains disregard this correlation. ",GC,,
Blackhawk,,81.86,79,0.5,0.5,"Aschoff and Steel, 2011, Anomalous clastic wedge development during the Sevier-Laramide transition, North American Cordilleran foreland basin, USA; Miall, 2014, The emptiness of the stratigraphic record: a preliminary evaluation of missing time in the Mesaverde Group, Book Cliffs, Utah, U.S.A. ",Terrestrial/shallow marine,"Biostratigraphy, Radiometric dating","Ages well constrained by appearances of ammonites used in biostratigraphy, combined with radiometric dating of those zones. ",WI,,
Blackleaf,,105,95,2,2,"Dyman and Nichols, 1988, Stratigraphy of Mid-Cretaceous Blackleaf and Lower Part of the Frontier Formation in Parts of Beaverhead and Madison Counties, Montana; Walaszczyk and Cobban, 2016, Inoceramid bivalves and biostratigraphy of the upper Albian and lower Cenomanian of the United States Western Interior Basin; Dyman et al, 1997, Correlation of Upper Cretaceous strata from Lima Peaks area to Madison Range, southwestern Montana and southeastern Idaho, USA; Zartman et al., 1995, U-Pb ages of volcanogenic zircon from porcellanite beds in the Vaughn Member of the mid-Cretaceous Blackleaf Formation, southwestern Montana",Shallow marine,"Radiometric dating, biostratigraphy","Radiometric dating for top, taken from Zartman et al. (1995). Biostratigraphy dating for base, taken from Dyman and Nichols, 1988, with age based off Walaszczyk and Cobban, 2016",WI,,
Bladen,,77.1,76.5,0.5,0.5,"Harris and Self-Trail, 2006, Late Cretaceous base level lowering in Campanian and Maastrihtian depositional sequences, Kure Beach, North Carolina, Stratigraphy, 3(3), 195-216",Shallow marine,"Biostratigraphy, Stratigraphic correlation, radiometric dating",Suggestions of disconformable surface between Bladen and underlying Tar Hell fm. Generally seems to match with CC21.,GC,,
Blufftown,,86,79.5,0.5,0.5,"Puckett, 2005, Santonian-Maastrichtian planktonic foraminiferal and ostracod biostratigraphy of the northern Gulf Coastal Plain; Simmons, 2018, Sequence Stratigraphy of CampanianMaastrichtian
Strata in Eastern Alabama; Martin and Stewart, 1981, An ichthyornithiform bird from the Campanian of Canada;  Kiernan, 2002, Stratigraphic distribution and habitat segregation of mosasaurs in the Upper Cretaceous of western and central Alabama, with an historical review of alabama mosasaur discoveries; Schwimmer et al, 1993,  LATE CRETACEOUS DINOSAURS FROM THE BLUFFTOWN FORMATION IN WESTERN GEORGIA AND EASTERN ALABAMA",Shallow marine,"Stratigraphy, biostratigraphy",A. plummeri appears near top of Blufftown. Base is equivalent to beginning of TST of TR-6. Lateral equivalent to Mooreville Chalk,GC,,
Bonnet Plume,,77.5,66.5,1,1,"Bell, 2018, Biostratigraphy of Cretaceuos and Paleogene Strat from Northern Yukon Territory and Disctrict of Mackenzie, Northwest Territories, doctoral thesis, University of Calgary",Terrestrial,"Palynology, biostratigraphy","Upper part of the Cretaceous Bonnet Plume - lower reported to be Albian-Cenomanian, and top part is Paleogene. Specific ages somewhat approximate. Base correlates with Oldman formation, top correlates with top of Battle/Whitemud formation.",NWT,,
Cantwell,,75,66.5,2,2,"Tomsich et al, 2010, Paleofloristic and paleoenvironmental information from a Late Cretaceous (Maastrichtian) flora of the lower Cantwell Formation near Sable Mountain, Denali National Park, Alaska, Palaeo3, 295(3-4), 389-408; Ridgway et al., 197, Thrust-top basin formation along a suture zone, Cantwell basin, Alaskan Range: Implications for development of the Denali fault system, GSA Bulletin, 109(5), 505-523",Terrestrial,"Palynology, Radiometric dates","Lack of decent age constraint. Ridgway et al (1997) reported 75-70, Tomsich et al. (2010) report slightly younger (mid to late Maastrichtian). Considering ages were taken from different locations, and dates from Ridgway also include matching raiometric dates, assume there is some variability, hence provided range.",NWT,,
Cape Sebastian Sandstone,,83.6,72.3,5,5,"Bourgeois, 1980, A transgressive shelf sequence exhibiting hummocky stratification: The Cape Sebastian Sandstone (Upper Cretaceous), Southwestern Oregon, Journal of Sedimentary Petrology, 50(3), 681-702; Taylor and Lucas, 2018, A late Cretaceous (Campanian) Hadrosaur sacrum from the Cape Sebastian Sandstone, Curry County, Orgeon, New Mexico Museum of Natural History and Science Bulletin 79",Shallow marine,Biostratigraphy,Reported as Campanian based on Inoceramid remains. Lack of detailed age dating means confidence at higher resolution is low. ,WC,,
Castlegate,,79,77,0.5,0.5,"Aschoff and Steel, 2011, Anomalous clastic wedge development during the Sevier-Laramide transition, North American Cordilleran foreland basin, USA; Miall, 2014, The emptiness of the stratigraphic record: a preliminary evaluation of missing time in the Mesaverde Group, Book Cliffs, Utah, U.S.A. ",Terrestrial/shallow marine,"Biostratigraphy, Radiometric dating",Ages well constrained by ammonite zones combined with radiometric dating. ,WI,,
Cedar District,,80,79,0.5,0.5,"Ward et al., 2012, Integration of macrofossil biostratigraphy and magnetostratigraphy for the Pacific Coast Upper Cretaceous (Campanian-Maastrichtian) of North America and implications for correlation with the Western Interior and Tethys, GSA Bulletin, 124(5-6), 957-974; Peecook and Sidor, 2015, The first dinosaur from Washington state and a review of Pacific Coast dinosaurs from North America, PloS ONE, 10(5): e0127792",Marine,"Biostratigraphy, magnetostratigraphy","Detailed biostrat/magnetostrat work in Ward et al. (2012) confines the formation to a narrow window. Other studies have suggested a later age (Late Campanian as opposed to early Middle Campanian), but do not have appropriate evidence to back it up.",WC,,
Cerro del Pueblo,,72.5,72.1,0.1,0.1,"Eberth et al, 2004, Cerro del Pueblo FM (Difunta Group, Upper Cretaceous), Parras Basin, southern Coahuila, Mexico: reference sections, age, and correlation.",Terrestrial/shallow marine,Magnetostratigraphy,Age gathered from 66 magnetostratigraphic samples. Deposited in magnetochronozonoes 32n.3r-32n.2n. Correlated to biostrat to obtain accurate dates. ,MX,,
Claggett,,81,79.6,0.1,0.5,"Mumpy and Catuneau, 2018, Controls on accommodation during the early-middle Campanian in southern Alberta, western Canada foreland system; Bertog et al., 2007, Geochemical and mineralogical recognition of the bentonites in the lower Pierre Shale Group and their use in regional stratigraphic correlation; Hicks et al, 1997, Magnetostratigraphy, isotopic age calibration and intercontinental correlation of the Red Bird section of the Pierre Shale, Niobrara County, Wyoming, USA",Marine,"Sequence stratigraphy, Biostratigraphy, Radiometric dating",Contains ardmore bentonite - dated at 80.54 +/- 0.55,WI,,
Coffee Sand,,80,77,1,1,"Liu, 2007, Sequence stratigraphy and orbital cyclostratigraphy of the Mooreville Chalk (Santonian-Campanian), northeastern Gulf of Mexico area, USA, Cretaceous Research, 28(3), 405-418; Mohler et al., 2021, First remains of the enormous alligatoroid Deinosuchus from the Upper Cretaceous Menefee Formation, New Mexico, PeerJ, 9:e11302; Cossette and Brochu, 2020, A. systematic review of the giant alligatoroid Deinosuchus from the Campanian of North America and its implications for the relationships at te root of Crocogylia, JVP, 40(1); Dockery III, 1990, The Chapelville fossiliferous horizon of the Coffee Sand: A window into the Campanian Molluscan faunas of the northern Gulf, Second Bald Head Island Conf. Nov, 6(11), 75-81.",Marine,"Biostratigraphy, Stratigraphic correlation, radiometric dating","Restricted to Middle Campanian according to Cossette and Brochu (2020), with some more precise etimates for specific horizons (e.g. Dockery II, 1990). Slight disagreement about [psition of boundaries - have been ocnservative with estimate. Potential error taken from Mohler et al. (2021).",GC,,
Cokedale,,84.5,71.5,0.5,1,"Tysdal and Nichols, 1991, Biostratigraphic correlation of Santonian and Campanian formations in the northwestern part of Yellowstone National Park, and the Madison Range and Livingston area of southwestern Montana.",Terrestrial,"Biostratigraphy, palynology",,WI,,
Dakota,Terra Cotta Clay,105.5,100.5,1,1,"Hamilton, 1994, Sequence stratigraphy of Cretaceous Albian and Cenomanian strata in Kansas; Wang and Dilcher, 2018, Early Cretaceous angiosperm leaves from the Dakota Formation, Hoisington III locality, Kansas, USA; Brenner et al, 2000, LATE ALBIAN KIOWA–SKULL CREEK MARINE TRANSGRESSION, LOWER DAKOTA FORMATION, EASTERN MARGIN OF WESTERN INTERIOR SEAWAY, U.S.A.",Terrestrial/shallow marine,Palynology,Relatively weak constraint - only at stage level (late Albian),WI,,
Dawson Arkose,,70,56.4,1.4,1,"Kluth and Nelson, 1988, Age of the Dawson Arkose, Southwestern Air Force Acaemy, Colorado, and implications for the uplift history of the Front Range; Marvin and Dobson, 1979, U.S. Geological Survey radiometric ages; Compilation ""B"": Isochron/West",Terrestrial,"Palynology, Radiometric dates","Lower limit based on Palynology - late Maastrichtian, comparable to Hell Creek Flora. Upper limited based on radiometric date from tuffs. ",WI,,
Demopolis,,77.5,69.5,5,1,"Lynn Harrel Jr et al., 2016, Strontium isotope age-dating of fossil shark tooth enameloid from the Upper Cretaceous Strata of Alabama and Mississippi, USA; Hancock et al, 1992, The relative stratigraphic position of the foraminiferal and belemnite standards for the Campanian-Maastrichtian boundary; Liu, 2007, Sequence stratigraphy and orbital cyclostratigraphy of the Mooreville Chalk (Santonian–Campanian), northeastern Gulf of Mexico area, USA; Kiernan, 2002, Stratigraphic distribution and habitat segregation of mosasaurs in the Upper Cretaceous of western and central Alabama, with an historical review of alabama mosasaur discoveries; Carr et al, 2006, A new genus and species of tyrannosauroid from the Late Cretaceous (Middle Campanian) Demopolis Formation of Alabama",Shallow marine,Radiometric; biostratigraphic,"Base is relatively well dated - large discrepancty between dates for contact with overlying Ripley formation (see LynnHarrell Jr. et al, 2016 for further info. As such, have chosen maximum date, and top error represents negative error if formation is older than that estimate.",GC,,
Denver,,68.369,62.32,0.3,0.3,"Reynolds, 2002, Upper Cretaceous and Tertiary stratigraphy of the Denver Basin, Colorado; Hicks et al., 2003, Magnetostratigraphy of Upper Cretaceous (Maastrichtian) to lower Eocene strata of the Denver Basin, Colorado",Terrestrial,"Radiometric dating, magnetostratigraphy, biostratigraphy","Ajusted to include nomenclature of Reynolds, 2002 (i.e. D1). As such, also includes Arapahoe Conglomerate.",WI,,
Dinosaur Park,,76.9,75.8,0.2,0.2,"Fowler, 2017",Terrestrial,Radiometric,"Constrained by multiple radiometric dates from within the formation, as well as underlying Oldman and overlying Bearpaw Shale",WI,,
Donoho Creek,,76.5,75.5,0.5,0.5,"Harris and Self-Trail, 2006, Late Cretaceous base level lowering in Campanian and Maastrihtian depositional sequences, Kure Beach, North Carolina, Stratigraphy, 3(3), 195-216",Shallow marine,"Biostratigraphy, palynology","Directly above the Bladen formation. Matches with Exogyra cancellata, upper Campanian pollen zone C, and is assigned to nannofossil zone CC22c",GC,,
Eagle Sandstone,,83.5,81.2,0.5,0.5,"Mumpy and Catuneau, 2018, Controls on accommodation during the early-middle Campanian in southern Alberta, western Canada foreland system",?,,,WI,,
El Gallo,,75.84,73,1.5,0.05,"Peecook et al., 2014, First tyrannosaurid remains from the Upper Cretaceous ""El Gallo"" Formation of Baja California, Mexico",Terrestrial/shallow marine,Radiometric dating has constrained based well (within La Escarpa member). Highest date is within El Disecado member. ,"Radiometric dating from sanidine crystals within tuffs constrain majority of formation - however, top is unconstrained (although ends before Camp/Maas boundary). Likely to be somewhere between 74 and 72.5 Ma.",MX,,
El Picacho,,69,66,1,1,"Wick and Lehman, 2011, A new ceratopsian dinosaur from the Javelina Formation (Maastrichtian) of West Texas and implications for chasmosaurine phylogeny",Terrestrial,Stratigraphy,"Poorly constrained , but apparently co-eval to Javelina formation",GC,,
Englishtown,,80.5,75,1,1,"Harris and Self-Trail, 2006, Late Cretaceous base level lowering in Campanian and Maastrihtian depositional sequences, Kure Beach, North Carolina, Stratigraphy, 3(3), 195-216; ",Shallow marine,"Biostratigraphy, Radiometric dating, Sequence Stratigraphy","Appears to be diachronous - several different suggestions for age range, depending on paper and location. Have chosen maximum possible range, and have left high potential error",EC,,
Eutaw,Tombigbee Sand,85,83,1,0.5,"Lynn Harrel Jr et al., 2016, Strontium isotope age-dating of fossil shark tooth enameloid from the Upper Cretaceous Strata of Alabama and Mississippi, USA; Lynn Harrell Jr and Perez Huerta, 2015, RARE EARTH ELEMENT (REE)ANALYSIS OF VERTEBRATE FOSSILS FROM THE UPPER CRETACEOUS CARBONATE MARINE FORMATIONS OF WESTERN AND CENTRAL ALABAMA, USA: TAPHONOMIC AND PALEOENVIRONMENTAL IMPLICATIONS; Puckett, 2005, Santonian-Maastrichtian planktonic foraminiferal and ostracode biostratigraphy of the northern Gulf Coastal Plain, USA",Marine,"Biostratigraphy, stratigraphy",Relatively consistent age constraints - top shows variability between authors (see Lynn Harrell Jr. for further info),GC,,
Evanston,Hams Fork Conglomerate,73,69,1,2,"Liu et al., 2005, Linkage of Sevier thrusting episodes and Late Cretaceous foreland basin megasequences across southern Wyoming (USA)",Terrestrial,Palynology,At sub-stage level (i.e. Late Campanian to early Maastrichtian),WI,,
Ferris,,66.001,62.7,0.5,0.5,"Wrobelewski, 2006, RELATIVE INFLUENCES OF TECTONISM, CLIMATE, AND SEA LEVEL ON VALLEY INCISION AND SEDIMENTARY FILL: NEW INSIGHTS
FROM UPPER CRETACEOUS AND PALEOCENE EXAMPLES",Terrestrial,Biostratigraphy,"Constraint poor, especially considering shifting of K/Pg boundary. Definitely at very last part of maastrichtian. ",WI,,
Foremost,,79.7,77.4,,,"Mumpy and Catuneau, 2018, Controls on accommodation during the early-middle Campanian in southern Alberta, western Canada foreland system",?,Biostratigraphy,,WI,,
Fox Hills Sandstone,,70.44,67.7,1,1,"Fowler, 2017",Terrestrial/shallow marine,"Magnetostratigraphy, biostratigraphy",Dates taken from Fowler (2017); see relevant section for full discussion,WI,,
Frenchman,,66.5,66,0.05,0.1,"Brown et al, 2011, A new basal ornithopod dinosaur (Frenchman Formation, Saskatchewan, Canada), and implications for late Maastrichtian ornithischian diversity in North America; Fowler, 2017",Terrestrial,"Stratigraphy, Palynostratigraphy, magnetostratigraphy","Very well constrained - top is defined as the top of the lowest mappable coal seam of the Ravenscrag Formation, and its lower boundary is defined by the upper erosional surface of the Battle Formation. Broadly equivalent to Hell Creek",WI,,
Frontier,Belle Fourche,97.17,94.2,0.8,0.69,"Vakarelov et al., 2006, Importance of high-frequency tectonic sequences during greenhouse times of Earth history; Kirschbaum and Roberts, 1995, Stratigraphic Framework of the Cretaceous Mowry Shale, Frontier Formation and Adjacent Units, Southwestern Wyoming Province, Wyoming, Colorado, and Utah",Shallow marine,"Radiometric dating, biostratigraphy",,WI,,
Fruitland,,76.03,75.02,0.2,0.41,"Fowler, 2017",Terrestrial,Radiometric dating,,WI,,
Fruitland/Kirtland,,76.03,73.49,0.25,0.41,"Fowler, 2017",Terrestrial,Radiometric dating,,WI,,
Harebell,,74.9,68.7,0.5,0.5,"Harris et al., 1996, Four-toed theropod footprints and a paleomagnetic age from the Whetstone Falls Member of the Harebell Formation (Upper Cretaceous : Maastrichtian) , northwestern Wyoming",Terrestrial/shallow marine,"Magnetostratigraphy, Palynology, Radiometric dating","Well constrained at both base and top, but error bars not given - approximated",WI,,
Hell Creek,,68,66.024,0.014,0.5,"Sprain et al., 2015, High-resolution chronostratigraphy of the terrestrial Cretaceous-Paleogene transition and recovery interval in the Hell Creek region, Montana; Fowler, 2017; Sprain et al., 2018, Calibration of chron C29r: New high-precision geochronologic and paleomagnetic constraints from the Hell Creek region, Montana",Terrestrial,"Radiometric dating, magnetostratigraphy, biostratigraphy","Top well constrained. Base more poorly constrained - here taken from same assumptions as Fowler, 2017",WI,,
Hornerstown,,66.001,61.6,1,1,"Wiest and Buynevich, 2015, Recent overprinting of Cretaceous-Paleogene Thalassinoides framework, in McIlroy (ed) ICHNOLOGY:  Papers from Ichnia III, Geological Association of Canada, Miscellaneous Publication 9, 225-230; Voegele et al., 2021, Microstratigraphic Analysis of Fossil Distribution in the Lower Hornerstown and Upper Navesink Formations at the Edelman Fossil Park, NJ. Frontiers in Earth Science, 9, 11/1/2021; Wiest et al., 2016, Ichnological evidence for endobenthic response to the K-Pg event, New Jersey, U.S.A., PALAIOS, 31(5), 231–241.",Shallow marine,"Biostratigraphy, taphonomy, ichnology, sedimentology","Controversial unit that appears to record the K-Pg event. Good review of current situation in Voegele et al., 2021. Age of both base and top of unit unsure - base is either very Latest Maastrichtian, or records the K-Pg boundary, or is in the Paleogene. Top unsure - disconformable below Vincentown formation, which has maximum dated age of 56.7 Ma. Assumed here to be very latest Maastrichtian.",EC,,
Horseshoe Canyon,,74,67.696,0.7,1,"Eberth and Braman, 2012, A revised stratigraphy and depositional history for the Horseshoe Canyon Formation (Upper Cretaceous), southern Alberta plains; Hathway, 2016, Regional T-R sequence stratigraphy and lithostratigraphy of the Bearpaw Formation (Upper Campanian), west-central and southwestern Alberta plains; Fowler, 2017",Terrestrial/shallow marine,"Radiometric dating, magnetostratigraphy, biostratigraphy","Top well constrained, but case questionable - dated from Strathmore member. Here, chosen to co-incide with onset of LB C (Hathway, 2016)",WI,,
Horsethief,,74.21,71.814,0.125,1,"Fowler, 2017",Terrestrial/shallow marine,"Biostratigraphy, magnetostratigraphy","Base taken from lowest possible point of  Baculiltes compressus zone, top taken from base of overlying St. Mary River. Unit is time transgressive.",WI,,
Iron Springs,,100.18,80,3.5,0.04,"Crowell et al., 2021, Late Cretaceous Dinosaur Tracks from the Iron Springs Formation, Iron County, Utah, The Compass: Earth Science Journal of Sigma Gamma Epsilon: Vol. 91(1); Quick et al., 2020, Timing of deformation along the Iron Springs thrust, southern Sevier fold-and-thrust belt, Butah: Evidence fro an extensive thrusting event in the mid-Cretaceous, Rocky Mountain Geology, 55(2), 75-89; Goldstrand et at. 1993. Late Cretaceous to Early Tertiary Tectonostratigraphy of Southwestern Utah. In: Aspects of Mesozoic Geology and Paleontology of the Colorado Plateau. Morales, M., ed. Museum of Northern Arizona Bulletin 59, 181-188; Milner et al, 2006, Dinosaur tracks from the Upper Cretaceous Iron Springs Formation, Iron County, Utah, New Mexico Museum of Natural History and Science Bulletin, 35, 105-113.",Terrestrial,Radiometric dating,"Controversial age assignment for top of formation. Base of formation is Cenomanian-Turonian - top has been assumed to either be Santonian or Lower Campanian. Eaton assumed it to be Santonian, and a straight correlative to the Straight Cliffs John Henry Member. Milner et al. (2006) also report an Ar/Ar age of 83+-1.1 near the upper contact of the Iron Springs. Have used Fission track ages from Goldstrand et al. (1993) which assume a youngest age of 80 Ma, but have left large potential top error.",WI,,
Javelina,,69,66,0.5,1,"Leslie et al., 2018, Revised age constraints for Late Cretaceous to early Paleocene terrestrial strata from the Dawson Creek section, Big Bend National Park, west Texas; Lehman et al., 2018, Stratigraphy and depositional history of the Tornillo Group (Upper Cretaceous–Eocene) of West Texas",Terrestrial,"Magnetostratigraphy, biostratigraphy","Currently under revision - Black Peaks ma not fall within Cretaceous at all. As such, all dinosaur remains would be part of the underlying Javelina formation. Leslie et al. (2018) identified as between C31 and Cr29. However, Lehman et al. (2018) claim that nearby dinosaur remains disregard this correlation. ",GC,,
Judith River,,79.52,75.443,0.12,2,"Rogers et al., 2016, Age, Correlation, and Lithostratigraphic Revision of the Upper Cretaceous (Campanian) Judith River Formation in Its Type Area (North-Central Montana), with a Comparison of Low- and High-Accommodation Alluvial Records; Fowler, 2017; Gilbert et al., 2018, Paleoecology and sedimentology of a vertebrate microfossil assemblage from the easternmost Dinosaur Park Formation (Late Cretaceous, Upper Campanian,) Saskatchewan, Canada: Reconstructing diversity in a coastal ecosystem",Terrestrial,"Radiometric dating, stratigraphy",Poor constraint on base of formation. Corresponding Rudyard beds allow for tentative estimation of age. Matches with reported figure in Gilbert et al. (2018),WI,,
Kaiparowits,,77,74.67,0.15,1,"Roberts et al., 2005, 40Ar/39Ar age of the Kaiparowits Formation, southern Utah, and correlation of contemporaneous Campanian strata and vertebrate faunas along the margin of the Western Interior Basin; Fowler, 2017",Terrestrial,Radiometric dating; magnetostratigraphy; biostratigraphy,Top marked by biostratigraphy; base marked by Magnetostrat and Radiometric dating,WI,,
Kirtland,,75.02,73.49,0.25,0.2,"Fowler, 2017",Terrestrial,Radiometric dating,,WI,,
Lance,,66.7,66.024,0.014,0.5,"Fowler, 2017",Terrestrial,Stratigraphy,Poor constraint - no magnetostrat/radiometric dates available. Followed Fowler (2017) and gave dates of the Hell Creek in Montana,WI,,
Landslide Creek,,83.5,78,2,1,"Tysdal and Nichols, 1991, Biostratigraphic correlation of Santonian and Campanian formations in the northwestern part of Yellowstone National Park, and the Madison Range and Livingston area of southwestern Montana. US Government Printing Office.",Terrestrial,Palynology,"Tysdal and Nichols report an assemblage of palynomorphs which represent the Pseudoplicapollis newmanii interval zone, which is earliest campanian. No hard controls on top of base of formation",WI,,
Laramie,,69.269,68.369,0.2,0.2,"Raynolds and Johnson, 2003, Synopsis of the stratigraphy and paleontology of the uppermost Cretaceous and lower Tertiary strata in the Denver Basin, Colorado; Ogg and Hinnov, 2012, Chapter 28: The Cretaceous in: The Geologic Timescale; Fowler, 2017",Terrestrial,Magnetostratigraphy,"Formations takes up entirely of chron c31n. As such, dates for chron found in Ogg and Hinnov (2012)",WI,,
Lomas Coloradas,,72,70,0.5,0.5,"Serrano-Branas et al., 2006, A new ornithomimid dinosaur from the Upper Cretaceous Packard Shale formation (Cabullona Group) Sonora, Mexico; Gonzalez-Leon et al, 2017, Stratigraphy, geochronology and regional tectonic setting of the Late Cretaceous (ca. 82-70 Ma) Cabullona basin, Sonora, Mexico",Terrestrial,"Radiometric dating, Basin Analysis","Gradational boundary into Packard below - part of formation is dated at type section as ~72/72.5 Ma. Basin has a minimum ageg of 70 Ma - as the top formation of the group, age must cap around this point. ",MX,,
Mancos Shale,,96,80,2,2,"Van Cappelle et al., 2018. Spatial and temporal evolution of coastal depositional systems and regional depositional process regimes: Campanian Western Interior Seaway, USA. Journal of Sedimentary Research, 88(8), 873-897; Schwans , 1995, Controls on sequence stacking and fluvial to shallow-marine architecture in a foreland basin, in J.C. Van Wagoner, and G.T. Bertram, eds., Sequence Stratigraphy of Foreland Basin Deposits: Outcrop and Subsurface",Marine,"Biostratigraphy, Stratigraphic correlation, radiometric dating","Wide ranging formation, with strong diachronous start and finish. Schwans (1995) reports an approximate range of 96 - 80 Ma, van Cappelle mostly agrees but shows the formation lasting longer (up to. ~78 Ma). ",WI,,
