"","Group.1","cells.1","Maas_out_1","DEM_1","LANDCVI_selected_1","MGVF_1","SLOPE_1","WC_Prec_1","WC_Temp_1","cells.2","MaasPrecip_1","MaasTemp_1","MaasTemp"
"81",2949,2949,0.0399999991059303,1858.56628417969,9530.859375,32.2500076293945,0.239680424332619,22.8634128570557,9.43971252441406,14143,2.30883233598433e-05,287.483795166016,14.3337951660156
"82",2952,2952,0.340000003576279,2253.72265625,5488.02783203125,69,0.455137968063354,35.4775428771973,7.7726674079895,14507,1.6463080100948e-05,287.656677246094,14.5066772460938
"83",2953,2953,0.159999996423721,3380.13549804688,2771.23999023438,96.5,0.31787171959877,49.3834114074707,3.99168300628662,14508,1.49880916069378e-05,287.897277832031,14.7472778320313
"84",2956,2956,0.230000004172325,1875.04040527344,7281.5888671875,48.7500038146973,0.389212608337402,31.2991218566895,8.98841571807861,14872,1.7066073269234e-05,288.485321044922,15.3353210449219
"85",3023,3023,0.129999995231628,364.145294189453,6177.61083984375,53.75,NA,29.9588851928711,15.7315664291382,14496,3.53001451003365e-05,284.315643310547,11.1656433105469
"86",3035,3035,0.949999988079071,1641.48107910156,8819.677734375,5.49999952316284,0.217530876398087,24.8893013000488,10.0155162811279,14746.6666666667,1.72683267010143e-05,288.169606526693,15.0196065266927
"87",3036,3036,0.349999994039536,1976.37182617188,7051.30322265625,29,0.321805000305176,32.5428237915039,8.47455501556396,14867,1.70786297530867e-05,288.603820800781,15.4538208007813
"88",3119,3119,0.5,2055.09619140625,9073.140625,17.4999980926514,0.0128282811492682,26.2737159729004,9.53163146972656,15228,1.67998859978979e-05,290.021423339844,16.8714233398438
"89",3229,3229,0,103.951400756836,6.74815654754639,93,0.0529252253472805,99.4641265869141,16.5236339569092,18854,5.73074576095678e-05,297.105834960938,23.9558349609375
"90",3230,3230,0,43.5821723937988,6.25027275085449,96.5,NA,101.045669555664,16.729040145874,18855,5.64952933927998e-05,296.853546142578,23.7035461425781
"91",3285,3285,0.0299999993294477,1882.45104980469,8260.482421875,48.7500038146973,0.169068619608879,28.2184143066406,11.431173324585,15946,2.16818898479687e-05,291.304962158203,18.1549621582031
"92",3312,3312,0,42.3848342895508,76.5364303588867,94.5,NA,101.541839599609,17.6181621551514,18854,5.73074576095678e-05,297.105834960938,23.9558349609375
"93",3313,3313,0,10.1432619094849,22.4512023925781,94,NA,105.851539611816,17.6845951080322,18855,5.64952933927998e-05,296.853546142578,23.7035461425781
"94",3314,3314,0,NA,5.15814542770386,0,NA,112.411148071289,17.4380722045898,19215,5.53920726815704e-05,297.562927246094,24.4129272460938
"95",3449,3449,0.0599999986588955,1466.15307617188,9143.5751953125,40,0.0950531885027885,33.8861999511719,16.2661552429199,16303,2.78281277132919e-05,292.735137939453,19.5851379394531
"96",3533,3533,0,1782.34399414062,6611.16357421875,59.75,0.12236238270998,36.6860771179199,15.9155406951904,16663,3.00483243336203e-05,293.856292724609,20.7062927246094
"97",3537,3537,0.0199999995529652,1336.55346679688,9779.1357421875,34.5000038146973,0.153504624962807,29.1698398590088,17.0372009277344,17028,3.56395175913349e-05,295.156616210938,22.0066162109375
"98",3621,3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,18019.75,6.26096034466173e-05,294.591621398926,21.4416213989258
"99",3622,3622,0.00999999977648258,938.553161621094,8850.6865234375,30.0000019073486,0.235077157616615,27.0677738189697,19.2522220611572,17750,6.24153326498345e-05,293.847900390625,20.697900390625
"100",3704,3704,0.0599999986588955,1658.04064941406,9819.8779296875,41.9999961853027,0.0994169861078262,25.6693801879883,18.8402767181396,17748,5.78617509745527e-05,294.937530517578,21.7875305175781
"101",3789,3789,0.0299999993294477,1006.31842041016,7825.23876953125,86.25,0.291136413812637,31.125862121582,20.2398242950439,18471,6.3878673245199e-05,295.115295410156,21.9652954101563
"102",3870,3870,0,1182.97705078125,9537.46484375,26.9999980926514,0.116077780723572,23.0306205749512,19.8619289398193,18468,5.64497750019655e-05,296.175964355469,23.0259643554688
